Alpha-2,Alpha-3,Country,country code,Country-Code,Date,Iso 3166-2,over 1% dates,Region,Region-Code,Sub-Region,Number of Records,Sub-Region-Code,Xmas Normalized,Xmas Pcnt
AU,AUS,Australia,AU,36,8/22/2017,ISO 3166-2:AU,,Oceania,9,Australia and New Zealand,1,53,0.000564550,0.001115111
NZ,NZL,New Zealand,NZ,554,8/22/2017,ISO 3166-2:NZ,,Oceania,9,Australia and New Zealand,1,53,0.000125093,0.001132776
DO,DOM,Dominican Republic,DO,214,8/22/2017,ISO 3166-2:DO,,Americas,19,Caribbean,1,29,1.463318994e-05,0.001072038
CR,CRI,Costa Rica,CR,188,8/22/2017,ISO 3166-2:CR,,Americas,19,Central America,1,13,2.989378020e-05,0.000655783
GT,GTM,Guatemala,GT,320,8/22/2017,ISO 3166-2:GT,,Americas,19,Central America,1,13,9.623213812e-06,0.000543318
HN,HND,Honduras,HN,340,8/22/2017,ISO 3166-2:HN,,Americas,19,Central America,1,13,4.742408341e-06,0.000512093
MX,MEX,Mexico,MX,484,8/22/2017,ISO 3166-2:MX,,Americas,19,Central America,1,13,0.000831222,0.000883445
NI,NIC,Nicaragua,NI,558,8/22/2017,ISO 3166-2:NI,,Americas,19,Central America,1,13,1.753030321e-06,0.000444356
PA,PAN,Panama,PA,591,8/22/2017,ISO 3166-2:PA,,Americas,19,Central America,1,13,7.371953821e-06,0.000678666
SV,SLV,El Salvador,SV,222,8/22/2017,ISO 3166-2:SV,,Americas,19,Central America,1,13,5.166826208e-06,0.000529977
CA,CAN,Canada,CA,124,8/22/2017,ISO 3166-2:CA,,Americas,19,Northern America,1,21,0.000519211,0.001093470
US,USA,United States of America,US,840,8/22/2017,ISO 3166-2:US,,Americas,19,Northern America,1,21,0.008163835,0.001600772
AR,ARG,Argentina,AR,32,8/22/2017,ISO 3166-2:AR,,Americas,19,South America,1,5,0.000229038,0.000775573
BO,BOL,Bolivia (Plurinational State of),BO,68,8/22/2017,ISO 3166-2:BO,,Americas,19,South America,1,5,3.838213754e-06,0.000400685
BR,BRA,Brazil,BR,76,8/22/2017,ISO 3166-2:BR,,Americas,19,South America,1,5,0.000652459,0.000754606
CL,CHL,Chile,CL,152,8/22/2017,ISO 3166-2:CL,,Americas,19,South America,1,5,0.000176060,0.000696071
CO,COL,Colombia,CO,170,8/22/2017,ISO 3166-2:CO,,Americas,19,South America,1,5,7.238169929e-05,0.000835546
EC,ECU,Ecuador,EC,218,8/22/2017,ISO 3166-2:EC,,Americas,19,South America,1,5,1.693058231e-05,0.000599602
PE,PER,Peru,PE,604,8/22/2017,ISO 3166-2:PE,,Americas,19,South America,1,5,0.000106483,0.000830623
PY,PRY,Paraguay,PY,600,8/22/2017,ISO 3166-2:PY,,Americas,19,South America,1,5,7.473445051e-06,0.000571041
UY,URY,Uruguay,UY,858,8/22/2017,ISO 3166-2:UY,,Americas,19,South America,1,5,5.849585385e-06,0.000347631
HK,HKG,Hong Kong,HK,344,8/22/2017,ISO 3166-2:HK,,Asia,142,Eastern Asia,1,30,4.820833381e-05,0.001608403
JP,JPN,Japan,JP,392,8/22/2017,ISO 3166-2:JP,,Asia,142,Eastern Asia,1,30,0.000101796,0.002434483
TW,TWN,"Taiwan, Province of China",TW,158,8/22/2017,ISO 3166-2:TW,,Asia,142,Eastern Asia,1,30,5.979678688e-05,0.001368483
ID,IDN,Indonesia,ID,360,8/22/2017,ISO 3166-2:ID,,Asia,142,South-Eastern Asia,1,35,0.000139652,0.001237952
MY,MYS,Malaysia,MY,458,8/22/2017,ISO 3166-2:MY,,Asia,142,South-Eastern Asia,1,35,8.087005663e-05,0.001311373
PH,PHL,Philippines,PH,608,8/22/2017,ISO 3166-2:PH,,Asia,142,South-Eastern Asia,1,35,0.000549058,0.002117251
SG,SGP,Singapore,SG,702,8/22/2017,ISO 3166-2:SG,,Asia,142,South-Eastern Asia,1,35,0.000104130,0.001417658
TH,THA,Thailand,TH,764,8/22/2017,ISO 3166-2:TH,,Asia,142,South-Eastern Asia,1,35,6.274003252e-06,0.000821228
CY,CYP,Cyprus,CY,196,8/22/2017,ISO 3166-2:CY,,Asia,142,Western Asia,1,145,3.506060641e-07,0.000418410
TR,TUR,Turkey,TR,792,8/22/2017,ISO 3166-2:TR,,Asia,142,Western Asia,1,145,6.576631645e-05,0.000554950
BG,BGR,Bulgaria,BG,100,8/22/2017,ISO 3166-2:BG,,Europe,150,Eastern Europe,1,151,1.162535897e-06,0.000292041
CZ,CZE,Czech Republic,CZ,203,8/22/2017,ISO 3166-2:CZ,,Europe,150,Eastern Europe,1,151,2.159917884e-05,0.000743782
HU,HUN,Hungary,HU,348,8/22/2017,ISO 3166-2:HU,,Europe,150,Eastern Europe,1,151,1.112712930e-05,0.000602039
PL,POL,Poland,PL,616,8/22/2017,ISO 3166-2:PL,,Europe,150,Eastern Europe,1,151,8.801134856e-05,0.000783729
SK,SVK,Slovakia,SK,703,8/22/2017,ISO 3166-2:SK,,Europe,150,Eastern Europe,1,151,3.921252033e-06,0.000537226
DK,DNK,Denmark,DK,208,8/22/2017,ISO 3166-2:DK,,Europe,150,Northern Europe,1,154,0.000296834,0.002093668
EE,EST,Estonia,EE,233,8/22/2017,ISO 3166-2:EE,,Europe,150,Northern Europe,1,154,3.192360478e-06,0.000528919
FI,FIN,Finland,FI,246,8/22/2017,ISO 3166-2:FI,,Europe,150,Northern Europe,1,154,0.000145363,0.001168592
GB,GBR,United Kingdom,GB,826,8/22/2017,ISO 3166-2:GB,,Europe,150,Northern Europe,1,154,0.001436618,0.001465512
IE,IRL,Ireland,IE,372,8/22/2017,ISO 3166-2:IE,,Europe,150,Northern Europe,1,154,9.701638853e-05,0.001437943
IS,ISL,Iceland,IS,352,8/22/2017,ISO 3166-2:IS,,Europe,150,Northern Europe,1,154,9.872328647e-06,0.000996807
LT,LTU,Lithuania,LT,440,8/22/2017,ISO 3166-2:LT,,Europe,150,Northern Europe,1,154,2.712583759e-06,0.000457285
LV,LVA,Latvia,LV,428,8/22/2017,ISO 3166-2:LV,,Europe,150,Northern Europe,1,154,4.299537523e-06,0.000561709
NO,NOR,Norway,NO,578,8/22/2017,ISO 3166-2:NO,,Europe,150,Northern Europe,1,154,0.000496587,0.002476465
SE,SWE,Sweden,SE,752,8/22/2017,ISO 3166-2:SE,,Europe,150,Northern Europe,1,154,0.001041115,0.002541371
AD,AND,Andorra,AD,20,8/22/2017,ISO 3166-2:AD,,Europe,150,Southern Europe,1,39,1.291706552e-07,0.000969663
ES,ESP,Spain,ES,724,8/22/2017,ISO 3166-2:ES,,Europe,150,Southern Europe,1,39,0.000451553,0.001175806
GR,GRC,Greece,GR,300,8/22/2017,ISO 3166-2:GR,,Europe,150,Southern Europe,1,39,4.954617274e-06,0.000560552
IT,ITA,Italy,IT,380,8/22/2017,ISO 3166-2:IT,,Europe,150,Southern Europe,1,39,0.000280854,0.001202550
MT,MLT,Malta,MT,470,8/22/2017,ISO 3166-2:MT,,Europe,150,Southern Europe,1,39,3.072416299e-06,0.000962948
PT,PRT,Portugal,PT,620,8/22/2017,ISO 3166-2:PT,,Europe,150,Southern Europe,1,39,3.043814225e-05,0.000670141
AT,AUT,Austria,AT,40,8/22/2017,ISO 3166-2:AT,,Europe,150,Western Europe,1,155,3.602015985e-05,0.000904142
BE,BEL,Belgium,BE,56,8/22/2017,ISO 3166-2:BE,,Europe,150,Western Europe,1,155,7.577704222e-05,0.001036068
CH,CHE,Switzerland,CH,756,8/22/2017,ISO 3166-2:CH,,Europe,150,Western Europe,1,155,6.232484113e-05,0.000853745
DE,DEU,Germany,DE,276,8/22/2017,ISO 3166-2:DE,,Europe,150,Western Europe,1,155,0.001321840,0.001604666
FR,FRA,France,FR,250,8/22/2017,ISO 3166-2:FR,,Europe,150,Western Europe,1,155,0.000269653,0.000805090
LI,LIE,Liechtenstein,LI,438,8/22/2017,ISO 3166-2:LI,,Europe,150,Western Europe,1,155,0,0
LU,LUX,Luxembourg,LU,442,8/22/2017,ISO 3166-2:LU,,Europe,150,Western Europe,1,155,1.559274338e-06,0.000595326
MC,MCO,Monaco,MC,492,8/22/2017,ISO 3166-2:MC,,Europe,150,Western Europe,1,155,0,0
NL,NLD,Netherlands,NL,528,8/22/2017,ISO 3166-2:NL,,Europe,150,Western Europe,1,155,0.000573933,0.001608489
AU,AUS,Australia,AU,36,8/23/2017,ISO 3166-2:AU,,Oceania,9,Australia and New Zealand,1,53,0.000578989,0.001131043
NZ,NZL,New Zealand,NZ,554,8/23/2017,ISO 3166-2:NZ,,Oceania,9,Australia and New Zealand,1,53,0.000127667,0.001132012
DO,DOM,Dominican Republic,DO,214,8/23/2017,ISO 3166-2:DO,,Americas,19,Caribbean,1,29,1.891427451e-05,0.001359458
CR,CRI,Costa Rica,CR,188,8/23/2017,ISO 3166-2:CR,,Americas,19,Central America,1,13,2.884196201e-05,0.000627699
GT,GTM,Guatemala,GT,320,8/23/2017,ISO 3166-2:GT,,Americas,19,Central America,1,13,1.082265561e-05,0.000593974
HN,HND,Honduras,HN,340,8/23/2017,ISO 3166-2:HN,,Americas,19,Central America,1,13,4.225725720e-06,0.000450047
MX,MEX,Mexico,MX,484,8/23/2017,ISO 3166-2:MX,,Americas,19,Central America,1,13,0.000858440,0.000890366
NI,NIC,Nicaragua,NI,558,8/23/2017,ISO 3166-2:NI,,Americas,19,Central America,1,13,1.706897944e-06,0.000428864
PA,PAN,Panama,PA,591,8/23/2017,ISO 3166-2:PA,,Americas,19,Central America,1,13,6.919856528e-06,0.000649101
SV,SLV,El Salvador,SV,222,8/23/2017,ISO 3166-2:SV,,Americas,19,Central America,1,13,4.982296700e-06,0.000504236
CA,CAN,Canada,CA,124,8/23/2017,ISO 3166-2:CA,,Americas,19,Northern America,1,21,0.000528336,0.001093296
US,USA,United States of America,US,840,8/23/2017,ISO 3166-2:US,,Americas,19,Northern America,1,21,0.008358199,0.001618175
AR,ARG,Argentina,AR,32,8/23/2017,ISO 3166-2:AR,,Americas,19,South America,1,5,0.000241263,0.000778125
BO,BOL,Bolivia (Plurinational State of),BO,68,8/23/2017,ISO 3166-2:BO,,Americas,19,South America,1,5,3.284625232e-06,0.000337973
BR,BRA,Brazil,BR,76,8/23/2017,ISO 3166-2:BR,,Americas,19,South America,1,5,0.000626358,0.000710643
CL,CHL,Chile,CL,152,8/23/2017,ISO 3166-2:CL,,Americas,19,South America,1,5,0.000183164,0.000708252
CO,COL,Colombia,CO,170,8/23/2017,ISO 3166-2:CO,,Americas,19,South America,1,5,7.036110118e-05,0.000783641
EC,ECU,Ecuador,EC,218,8/23/2017,ISO 3166-2:EC,,Americas,19,South America,1,5,1.559274338e-05,0.000535427
PE,PER,Peru,PE,604,8/23/2017,ISO 3166-2:PE,,Americas,19,South America,1,5,0.000106307,0.000819291
PY,PRY,Paraguay,PY,600,8/23/2017,ISO 3166-2:PY,,Americas,19,South America,1,5,7.722559886e-06,0.000562714
UY,URY,Uruguay,UY,858,8/23/2017,ISO 3166-2:UY,,Americas,19,South America,1,5,5.803453008e-06,0.000324406
HK,HKG,Hong Kong,HK,344,8/23/2017,ISO 3166-2:HK,,Asia,142,Eastern Asia,1,30,4.281084572e-05,0.001816662
JP,JPN,Japan,JP,392,8/23/2017,ISO 3166-2:JP,,Asia,142,Eastern Asia,1,30,9.900008073e-05,0.002353922
TW,TWN,"Taiwan, Province of China",TW,158,8/23/2017,ISO 3166-2:TW,,Asia,142,Eastern Asia,1,30,7.203109322e-05,0.001666056
ID,IDN,Indonesia,ID,360,8/23/2017,ISO 3166-2:ID,,Asia,142,South-Eastern Asia,1,35,0.000150825,0.001316450
MY,MYS,Malaysia,MY,458,8/23/2017,ISO 3166-2:MY,,Asia,142,South-Eastern Asia,1,35,7.830509647e-05,0.001271831
PH,PHL,Philippines,PH,608,8/23/2017,ISO 3166-2:PH,,Asia,142,South-Eastern Asia,1,35,0.000548772,0.002156401
SG,SGP,Singapore,SG,702,8/23/2017,ISO 3166-2:SG,,Asia,142,South-Eastern Asia,1,35,0.000101039,0.001369122
TH,THA,Thailand,TH,764,8/23/2017,ISO 3166-2:TH,,Asia,142,South-Eastern Asia,1,35,7.851730541e-06,0.000728320
CY,CYP,Cyprus,CY,196,8/23/2017,ISO 3166-2:CY,,Asia,142,Western Asia,1,145,2.122089335e-07,0.000247102
TR,TUR,Turkey,TR,792,8/23/2017,ISO 3166-2:TR,,Asia,142,Western Asia,1,145,6.483444243e-05,0.000544495
BG,BGR,Bulgaria,BG,100,8/23/2017,ISO 3166-2:BG,,Europe,150,Eastern Europe,1,151,1.448556633e-06,0.000362527
CZ,CZE,Czech Republic,CZ,203,8/23/2017,ISO 3166-2:CZ,,Europe,150,Eastern Europe,1,151,2.214354089e-05,0.000765503
HU,HUN,Hungary,HU,348,8/23/2017,ISO 3166-2:HU,,Europe,150,Eastern Europe,1,151,1.072116438e-05,0.000577532
PL,POL,Poland,PL,616,8/23/2017,ISO 3166-2:PL,,Europe,150,Eastern Europe,1,151,9.150818273e-05,0.000814471
SK,SVK,Slovakia,SK,703,8/23/2017,ISO 3166-2:SK,,Europe,150,Eastern Europe,1,151,3.773628427e-06,0.000521443
DK,DNK,Denmark,DK,208,8/23/2017,ISO 3166-2:DK,,Europe,150,Northern Europe,1,154,0.000284351,0.002011163
EE,EST,Estonia,EE,233,8/23/2017,ISO 3166-2:EE,,Europe,150,Northern Europe,1,154,3.865893180e-06,0.000622228
FI,FIN,Finland,FI,246,8/23/2017,ISO 3166-2:FI,,Europe,150,Northern Europe,1,154,0.000151803,0.001198873
GB,GBR,United Kingdom,GB,826,8/23/2017,ISO 3166-2:GB,,Europe,150,Northern Europe,1,154,0.001428646,0.001437271
IE,IRL,Ireland,IE,372,8/23/2017,ISO 3166-2:IE,,Europe,150,Northern Europe,1,154,0.000101408,0.001461378
IS,ISL,Iceland,IS,352,8/23/2017,ISO 3166-2:IS,,Europe,150,Northern Europe,1,154,9.152663568e-06,0.000913328
LT,LTU,Lithuania,LT,440,8/23/2017,ISO 3166-2:LT,,Europe,150,Northern Europe,1,154,2.998604496e-06,0.000502081
LV,LVA,Latvia,LV,428,8/23/2017,ISO 3166-2:LV,,Europe,150,Northern Europe,1,154,5.037655553e-06,0.000653419
NO,NOR,Norway,NO,578,8/23/2017,ISO 3166-2:NO,,Europe,150,Northern Europe,1,154,0.000513564,0.002532419
SE,SWE,Sweden,SE,752,8/23/2017,ISO 3166-2:SE,,Europe,150,Northern Europe,1,154,0.001046319,0.002527323
AD,AND,Andorra,AD,20,8/23/2017,ISO 3166-2:AD,,Europe,150,Southern Europe,1,39,1.476236059e-07,0.001115916
ES,ESP,Spain,ES,724,8/23/2017,ISO 3166-2:ES,,Europe,150,Southern Europe,1,39,0.000424898,0.001090500
GR,GRC,Greece,GR,300,8/23/2017,ISO 3166-2:GR,,Europe,150,Southern Europe,1,39,5.074561454e-06,0.000561162
IT,ITA,Italy,IT,380,8/23/2017,ISO 3166-2:IT,,Europe,150,Southern Europe,1,39,0.000287820,0.001214220
MT,MLT,Malta,MT,470,8/23/2017,ISO 3166-2:MT,,Europe,150,Southern Europe,1,39,3.635231296e-06,0.001122574
PT,PRT,Portugal,PT,620,8/23/2017,ISO 3166-2:PT,,Europe,150,Southern Europe,1,39,2.999527143e-05,0.000657089
AT,AUT,Austria,AT,40,8/23/2017,ISO 3166-2:AT,,Europe,150,Western Europe,1,155,3.759788714e-05,0.000935961
BE,BEL,Belgium,BE,56,8/23/2017,ISO 3166-2:BE,,Europe,150,Western Europe,1,155,7.797294336e-05,0.001048130
CH,CHE,Switzerland,CH,756,8/23/2017,ISO 3166-2:CH,,Europe,150,Western Europe,1,155,6.829437070e-05,0.000924976
DE,DEU,Germany,DE,276,8/23/2017,ISO 3166-2:DE,,Europe,150,Western Europe,1,155,0.001285285,0.001546306
FR,FRA,France,FR,250,8/23/2017,ISO 3166-2:FR,,Europe,150,Western Europe,1,155,0.000290588,0.000863433
LI,LIE,Liechtenstein,LI,438,8/23/2017,ISO 3166-2:LI,,Europe,150,Western Europe,1,155,0,0
LU,LUX,Luxembourg,LU,442,8/23/2017,ISO 3166-2:LU,,Europe,150,Western Europe,1,155,1.753030321e-06,0.000662425
MC,MCO,Monaco,MC,492,8/23/2017,ISO 3166-2:MC,,Europe,150,Western Europe,1,155,0,0
NL,NLD,Netherlands,NL,528,8/23/2017,ISO 3166-2:NL,,Europe,150,Western Europe,1,155,0.000571248,0.001586864
AU,AUS,Australia,AU,36,8/24/2017,ISO 3166-2:AU,,Oceania,9,Australia and New Zealand,1,53,0.000585309,0.001127119
NZ,NZL,New Zealand,NZ,554,8/24/2017,ISO 3166-2:NZ,,Oceania,9,Australia and New Zealand,1,53,0.000129198,0.001122940
DO,DOM,Dominican Republic,DO,214,8/24/2017,ISO 3166-2:DO,,Americas,19,Caribbean,1,29,1.701362058e-05,0.001197235
CR,CRI,Costa Rica,CR,188,8/24/2017,ISO 3166-2:CR,,Americas,19,Central America,1,13,2.890654734e-05,0.000630947
GT,GTM,Guatemala,GT,320,8/24/2017,ISO 3166-2:GT,,Americas,19,Central America,1,13,8.977360536e-06,0.000491247
HN,HND,Honduras,HN,340,8/24/2017,ISO 3166-2:HN,,Americas,19,Central America,1,13,4.151913917e-06,0.000442104
MX,MEX,Mexico,MX,484,8/24/2017,ISO 3166-2:MX,,Americas,19,Central America,1,13,0.000871284,0.000900602
NI,NIC,Nicaragua,NI,558,8/24/2017,ISO 3166-2:NI,,Americas,19,Central America,1,13,1.208668274e-06,0.000298900
PA,PAN,Panama,PA,591,8/24/2017,ISO 3166-2:PA,,Americas,19,Central America,1,13,5.914170713e-06,0.000547028
SV,SLV,El Salvador,SV,222,8/24/2017,ISO 3166-2:SV,,Americas,19,Central America,1,13,4.604011210e-06,0.000465538
CA,CAN,Canada,CA,124,8/24/2017,ISO 3166-2:CA,,Americas,19,Northern America,1,21,0.000534278,0.001090444
US,USA,United States of America,US,840,8/24/2017,ISO 3166-2:US,,Americas,19,Northern America,1,21,0.008461434,0.001613037
AR,ARG,Argentina,AR,32,8/24/2017,ISO 3166-2:AR,,Americas,19,South America,1,5,0.000240682,0.000754419
BO,BOL,Bolivia (Plurinational State of),BO,68,8/24/2017,ISO 3166-2:BO,,Americas,19,South America,1,5,3.570645969e-06,0.000359232
BR,BRA,Brazil,BR,76,8/24/2017,ISO 3166-2:BR,,Americas,19,South America,1,5,0.000618358,0.000687737
CL,CHL,Chile,CL,152,8/24/2017,ISO 3166-2:CL,,Americas,19,South America,1,5,0.000182786,0.000700356
CO,COL,Colombia,CO,170,8/24/2017,ISO 3166-2:CO,,Americas,19,South America,1,5,7.253854937e-05,0.000798290
EC,ECU,Ecuador,EC,218,8/24/2017,ISO 3166-2:EC,,Americas,19,South America,1,5,1.363673060e-05,0.000460907
PE,PER,Peru,PE,604,8/24/2017,ISO 3166-2:PE,,Americas,19,South America,1,5,0.000109260,0.000833146
PY,PRY,Paraguay,PY,600,8/24/2017,ISO 3166-2:PY,,Americas,19,South America,1,5,7.390406772e-06,0.000516729
UY,URY,Uruguay,UY,858,8/24/2017,ISO 3166-2:UY,,Americas,19,South America,1,5,6.430853334e-06,0.000334663
HK,HKG,Hong Kong,HK,344,8/24/2017,ISO 3166-2:HK,,Asia,142,Eastern Asia,1,30,5.206500052e-05,0.001646576
JP,JPN,Japan,JP,392,8/24/2017,ISO 3166-2:JP,,Asia,142,Eastern Asia,1,30,0.000105071,0.002446479
TW,TWN,"Taiwan, Province of China",TW,158,8/24/2017,ISO 3166-2:TW,,Asia,142,Eastern Asia,1,30,6.408709793e-05,0.001473103
ID,IDN,Indonesia,ID,360,8/24/2017,ISO 3166-2:ID,,Asia,142,South-Eastern Asia,1,35,0.000144311,0.001270272
MY,MYS,Malaysia,MY,458,8/24/2017,ISO 3166-2:MY,,Asia,142,South-Eastern Asia,1,35,7.971674721e-05,0.001280677
PH,PHL,Philippines,PH,608,8/24/2017,ISO 3166-2:PH,,Asia,142,South-Eastern Asia,1,35,0.000580917,0.002272091
SG,SGP,Singapore,SG,702,8/24/2017,ISO 3166-2:SG,,Asia,142,South-Eastern Asia,1,35,0.000100144,0.001362515
TH,THA,Thailand,TH,764,8/24/2017,ISO 3166-2:TH,,Asia,142,South-Eastern Asia,1,35,8.082392425e-06,0.000695486
CY,CYP,Cyprus,CY,196,8/24/2017,ISO 3166-2:CY,,Asia,142,Western Asia,1,145,1.937559828e-07,0.000237915
TR,TUR,Turkey,TR,792,8/24/2017,ISO 3166-2:TR,,Asia,142,Western Asia,1,145,6.332130047e-05,0.000537391
BG,BGR,Bulgaria,BG,100,8/24/2017,ISO 3166-2:BG,,Europe,150,Eastern Europe,1,151,1.485462535e-06,0.000371758
CZ,CZE,Czech Republic,CZ,203,8/24/2017,ISO 3166-2:CZ,,Europe,150,Eastern Europe,1,151,2.010448983e-05,0.000700447
HU,HUN,Hungary,HU,348,8/24/2017,ISO 3166-2:HU,,Europe,150,Eastern Europe,1,151,1.250187413e-05,0.000672625
PL,POL,Poland,PL,616,8/24/2017,ISO 3166-2:PL,,Europe,150,Eastern Europe,1,151,8.793753676e-05,0.000788364
SK,SVK,Slovakia,SK,703,8/24/2017,ISO 3166-2:SK,,Europe,150,Eastern Europe,1,151,3.533740067e-06,0.000482523
DK,DNK,Denmark,DK,208,8/24/2017,ISO 3166-2:DK,,Europe,150,Northern Europe,1,154,0.000326110,0.002247464
EE,EST,Estonia,EE,233,8/24/2017,ISO 3166-2:EE,,Europe,150,Northern Europe,1,154,3.312304658e-06,0.000529727
FI,FIN,Finland,FI,246,8/24/2017,ISO 3166-2:FI,,Europe,150,Northern Europe,1,154,0.000152966,0.001186736
GB,GBR,United Kingdom,GB,826,8/24/2017,ISO 3166-2:GB,,Europe,150,Northern Europe,1,154,0.001428148,0.001419720
IE,IRL,Ireland,IE,372,8/24/2017,ISO 3166-2:IE,,Europe,150,Northern Europe,1,154,0.000100144,0.001427211
IS,ISL,Iceland,IS,352,8/24/2017,ISO 3166-2:IS,,Europe,150,Northern Europe,1,154,9.770837418e-06,0.000953078
LT,LTU,Lithuania,LT,440,8/24/2017,ISO 3166-2:LT,,Europe,150,Northern Europe,1,154,3.718269575e-06,0.000616256
LV,LVA,Latvia,LV,428,8/24/2017,ISO 3166-2:LV,,Europe,150,Northern Europe,1,154,4.327216949e-06,0.000557933
NO,NOR,Norway,NO,578,8/24/2017,ISO 3166-2:NO,,Europe,150,Northern Europe,1,154,0.000546779,0.002637416
SE,SWE,Sweden,SE,752,8/24/2017,ISO 3166-2:SE,,Europe,150,Northern Europe,1,154,0.001084821,0.002572068
AD,AND,Andorra,AD,20,8/24/2017,ISO 3166-2:AD,,Europe,150,Southern Europe,1,39,1.291706552e-07,0.000912349
ES,ESP,Spain,ES,724,8/24/2017,ISO 3166-2:ES,,Europe,150,Southern Europe,1,39,0.000439605,0.001116110
GR,GRC,Greece,GR,300,8/24/2017,ISO 3166-2:GR,,Europe,150,Southern Europe,1,39,5.120693831e-06,0.000571020
IT,ITA,Italy,IT,380,8/24/2017,ISO 3166-2:IT,,Europe,150,Southern Europe,1,39,0.000284305,0.001191421
MT,MLT,Malta,MT,470,8/24/2017,ISO 3166-2:MT,,Europe,150,Southern Europe,1,39,3.155454577e-06,0.000961609
PT,PRT,Portugal,PT,620,8/24/2017,ISO 3166-2:PT,,Europe,150,Southern Europe,1,39,3.343674674e-05,0.000724118
AT,AUT,Austria,AT,40,8/24/2017,ISO 3166-2:AT,,Europe,150,Western Europe,1,155,4.112240073e-05,0.001008799
BE,BEL,Belgium,BE,56,8/24/2017,ISO 3166-2:BE,,Europe,150,Western Europe,1,155,8.239242506e-05,0.001106532
CH,CHE,Switzerland,CH,756,8/24/2017,ISO 3166-2:CH,,Europe,150,Western Europe,1,155,6.930005651e-05,0.000939784
DE,DEU,Germany,DE,276,8/24/2017,ISO 3166-2:DE,,Europe,150,Western Europe,1,155,0.001354659,0.001617695
FR,FRA,France,FR,250,8/24/2017,ISO 3166-2:FR,,Europe,150,Western Europe,1,155,0.000303164,0.000885135
LI,LIE,Liechtenstein,LI,438,8/24/2017,ISO 3166-2:LI,,Europe,150,Western Europe,1,155,0,0
LU,LUX,Luxembourg,LU,442,8/24/2017,ISO 3166-2:LU,,Europe,150,Western Europe,1,155,1.743803845e-06,0.000672371
MC,MCO,Monaco,MC,492,8/24/2017,ISO 3166-2:MC,,Europe,150,Western Europe,1,155,0,0
NL,NLD,Netherlands,NL,528,8/24/2017,ISO 3166-2:NL,,Europe,150,Western Europe,1,155,0.000608717,0.001691522
AU,AUS,Australia,AU,36,8/25/2017,ISO 3166-2:AU,,Oceania,9,Australia and New Zealand,1,53,0.000563627,0.001085506
NZ,NZL,New Zealand,NZ,554,8/25/2017,ISO 3166-2:NZ,,Oceania,9,Australia and New Zealand,1,53,0.000135445,0.001134574
DO,DOM,Dominican Republic,DO,214,8/25/2017,ISO 3166-2:DO,,Americas,19,Caribbean,1,29,1.611865247e-05,0.001107776
CR,CRI,Costa Rica,CR,188,8/25/2017,ISO 3166-2:CR,,Americas,19,Central America,1,13,2.828837349e-05,0.000621411
GT,GTM,Guatemala,GT,320,8/25/2017,ISO 3166-2:GT,,Americas,19,Central America,1,13,9.152663568e-06,0.000501419
HN,HND,Honduras,HN,340,8/25/2017,ISO 3166-2:HN,,Americas,19,Central America,1,13,4.336443424e-06,0.000465827
MX,MEX,Mexico,MX,484,8/25/2017,ISO 3166-2:MX,,Americas,19,Central America,1,13,0.000822393,0.000849145
NI,NIC,Nicaragua,NI,558,8/25/2017,ISO 3166-2:NI,,Americas,19,Central America,1,13,1.586953764e-06,0.000393768
PA,PAN,Panama,PA,591,8/25/2017,ISO 3166-2:PA,,Americas,19,Central America,1,13,6.661515218e-06,0.000607552
SV,SLV,El Salvador,SV,222,8/25/2017,ISO 3166-2:SV,,Americas,19,Central America,1,13,4.456387604e-06,0.000449901
CA,CAN,Canada,CA,124,8/25/2017,ISO 3166-2:CA,,Americas,19,Northern America,1,21,0.000530799,0.001034231
US,USA,United States of America,US,840,8/25/2017,ISO 3166-2:US,,Americas,19,Northern America,1,21,0.008208804,0.001515029
AR,ARG,Argentina,AR,32,8/25/2017,ISO 3166-2:AR,,Americas,19,South America,1,5,0.000236013,0.000736002
BO,BOL,Bolivia (Plurinational State of),BO,68,8/25/2017,ISO 3166-2:BO,,Americas,19,South America,1,5,3.137001626e-06,0.000323262
BR,BRA,Brazil,BR,76,8/25/2017,ISO 3166-2:BR,,Americas,19,South America,1,5,0.000606133,0.000638274
CL,CHL,Chile,CL,152,8/25/2017,ISO 3166-2:CL,,Americas,19,South America,1,5,0.000173587,0.000657931
CO,COL,Colombia,CO,170,8/25/2017,ISO 3166-2:CO,,Americas,19,South America,1,5,7.289838191e-05,0.000792395
EC,ECU,Ecuador,EC,218,8/25/2017,ISO 3166-2:EC,,Americas,19,South America,1,5,1.481771945e-05,0.000513724
PE,PER,Peru,PE,604,8/25/2017,ISO 3166-2:PE,,Americas,19,South America,1,5,9.949831040e-05,0.000779749
PY,PRY,Paraguay,PY,600,8/25/2017,ISO 3166-2:PY,,Americas,19,South America,1,5,8.073165950e-06,0.000558514
UY,URY,Uruguay,UY,858,8/25/2017,ISO 3166-2:UY,,Americas,19,South America,1,5,4.622464161e-06,0.000307520
HK,HKG,Hong Kong,HK,344,8/25/2017,ISO 3166-2:HK,,Asia,142,Eastern Asia,1,30,4.789463365e-05,0.001535483
JP,JPN,Japan,JP,392,8/25/2017,ISO 3166-2:JP,,Asia,142,Eastern Asia,1,30,9.864024819e-05,0.002371317
TW,TWN,"Taiwan, Province of China",TW,158,8/25/2017,ISO 3166-2:TW,,Asia,142,Eastern Asia,1,30,6.083015212e-05,0.001394305
